Bill Date	Ship Date	Delivery_Confirm	Material_or_VAS_Num	Overlabeled Value	Invoice
09/29/2019	09/23/2019	9374869903504110642588	82		21373553
09/29/2019	09/23/2019	9374869903504110299683	82		21373553
09/29/2019	09/23/2019	9374869903504110291762	82		21373553
09/29/2019	09/23/2019	9374869903504110310982	82		21373553
09/29/2019	09/23/2019	9374869903504110675203	82		21373553
09/29/2019	09/23/2019	9374869903504110950317	82		21373553
09/29/2019	09/23/2019	9374869903504110953448	82		21373553
09/29/2019	09/23/2019	9374869903504110497737	82		21373553
09/29/2019	09/23/2019	9374869903504110320516	82		21373553
09/29/2019	09/23/2019	9374869903504110301195	82		21373553
09/29/2019	09/23/2019	9374869903504110623303	82		21373553
09/29/2019	09/23/2019	9374869903504110191338	82		21373553
09/29/2019	09/23/2019	9374869903504110210381	82		21373553
09/29/2019	09/23/2019	9374869903504110227082	82		21373553
09/29/2019	09/23/2019	9374869903504110298969	82		21373553
09/29/2019	09/23/2019	9361289936900254166513	83	9374869903504110318957	21373553
09/29/2019	09/23/2019	9361289936900254166360	83	9374869903504110306794	21373553
09/29/2019	09/23/2019	9374869903504110317653	82		21373553
09/29/2019	09/23/2019	9374869903504110567621	82		21373553
09/29/2019	09/23/2019	9361289936900254273082	83	9374869903504110580545	21373553
09/29/2019	09/23/2019	9374869903504110956913	82		21373553
09/29/2019	09/23/2019	9374869903504110676569	82		21373553
09/29/2019	09/23/2019	9374869903504110569076	82		21373553
09/29/2019	09/23/2019	9374869903504111286842	82		21373553
09/29/2019	09/23/2019	9374869903504110694563	82		21373553
09/29/2019	09/23/2019	9374869903504110949427	82		21373553
09/29/2019	09/24/2019	9374869903504112515583	82		21373553
09/29/2019	09/23/2019	9374869903504110986606	82		21373553
09/29/2019	09/23/2019	9374869903504110705160	82		21373553
09/29/2019	09/23/2019	9374869903504110952762	82		21373553
09/29/2019	09/23/2019	9374869903504110954926	82		21373553
09/29/2019	09/23/2019	9374869903504110959662	82		21373553
09/29/2019	09/23/2019	9374869903504110544486	82		21373553
09/29/2019	09/23/2019	9374869903504110493388	82		21373553
09/29/2019	09/23/2019	9361289936900254324159	83	9374869903504110812431	21373553
09/29/2019	09/23/2019	9361269903504110947533	83		21373553
09/29/2019	09/23/2019	9374869903504110712786	81		21373553
09/29/2019	09/23/2019	9374869903504110208791	82		21373553
09/29/2019	09/23/2019	9374869903504110706006	82		21373553
09/29/2019	09/23/2019	9374869903504110954322	82		21373553
09/29/2019	09/23/2019	9374869903504110603367	82		21373553
09/29/2019	09/23/2019	9374869903504110380718	82		21373553
09/29/2019	09/24/2019	9374869903504114386860	82		21373553
09/29/2019	09/24/2019	9374869903504114336650	82		21373553
09/29/2019	09/25/2019	9374869903504116724608	82		21373553
09/29/2019	09/24/2019	9374869903504114380820	82		21373553
09/29/2019	09/26/2019	9374869903504119228967	82		21373553
09/29/2019	09/26/2019	9374869903504119308287	82		21373553
09/29/2019	09/24/2019	9374869903504114368750	82		21373553
09/29/2019	09/26/2019	9374869903504119254195	82		21373553
09/29/2019	09/25/2019	9374869903504116755916	82		21373553
09/29/2019	09/24/2019	9374869903504114371583	82		21373553
09/29/2019	09/26/2019	9374869903504119316909	82		21373553
09/29/2019	09/26/2019	9374869903504119317265	82		21373553
09/29/2019	09/26/2019	9374869903504119303954	82		21373553
09/29/2019	09/25/2019	9374869903504116788488	82		21373553
09/29/2019	09/25/2019	9374869903504116753479	82		21373553
09/29/2019	09/25/2019	9374869903504116776065	82		21373553
09/29/2019	09/25/2019	9374869903504116772425	82		21373553
09/29/2019	09/26/2019	9374869903504119311201	82		21373553
09/29/2019	09/26/2019	9374869903504119253228	82		21373553
09/29/2019	09/25/2019	9361289936900254324142	83	9374869903504116770872	21373553
09/29/2019	09/26/2019	9361269903504119190497	83		21373553
09/29/2019	09/25/2019	9361269903504116772955	83		21373553
09/29/2019	09/25/2019	9361269903504116739590	36		21373553
09/29/2019	09/25/2019	9361269903504116740770	36		21373553
09/29/2019	09/26/2019	9374869903504119252931	82		21373553
09/29/2019	09/26/2019	9374869903504119310129	82		21373553
10/06/2019	09/25/2019	9270490234837025569120	384		21373553
10/06/2019	09/25/2019	9270490234837025569120	154		21373553
10/06/2019	09/16/2019	9261290249307229346426	36		21373553
10/06/2019	09/16/2019	9261290249307229350041	36		21373553
10/06/2019	09/20/2019	9274890249307229356735	81		21373553
10/06/2019	09/24/2019	9274890249307229357190	81		21373553
10/06/2019	09/24/2019	9274890249307229362958	81		21373553
10/06/2019	09/24/2019	9274890249307229362255	81		21373553
10/06/2019	09/24/2019	9274890249307229359934	81		21373553
10/06/2019	09/24/2019	9274890249307229358852	81		21373553
10/06/2019	09/24/2019	9274890249307229362484	81		21373553
10/06/2019	09/24/2019	9274890249307229356933	81		21373553
10/06/2019	09/24/2019	9274890249307229359187	81		21373553
10/06/2019	09/24/2019	9274890249307229359477	81		21373553
10/06/2019	09/24/2019	9274890249307229361883	81		21373553
10/06/2019	09/24/2019	9274890249307229361272	81		21373553
10/06/2019	09/24/2019	9274890249307229360572	81		21373553
10/06/2019	09/24/2019	9274890249307229362088	81		21373553
10/06/2019	09/24/2019	9274890249307229361616	81		21373553
10/06/2019	09/24/2019	9274890249307229358647	81		21373553
10/06/2019	09/24/2019	9274890249307229362736	81		21373553
10/06/2019	09/24/2019	9274890249307229360190	81		21373553
10/06/2019	09/24/2019	9274890249307229357558	81		21373553
10/06/2019	09/24/2019	9274890249307229357206	81		21373553
10/06/2019	09/24/2019	9274890249307229358975	81		21373553
10/06/2019	09/24/2019	9274890249307229358555	81		21373553
10/06/2019	09/24/2019	9274890249307229358265	81		21373553
10/06/2019	09/24/2019	9274890249307229356940	81		21373553
10/06/2019	09/24/2019	9274890249307229360466	81		21373553
10/06/2019	09/24/2019	9274890249307229359613	81		21373553
10/06/2019	09/24/2019	9274890249307229362965	81		21373553
10/06/2019	09/24/2019	9274890249307229361364	81		21373553
10/06/2019	09/24/2019	9274890249307229358319	81		21373553
10/06/2019	09/24/2019	9274890249307229360473	81		21373553
10/06/2019	09/24/2019	9274890249307229359569	81		21373553
10/06/2019	09/24/2019	9274890249307229362071	81		21373553
10/06/2019	09/24/2019	9274890249307229358012	81		21373553
10/06/2019	09/24/2019	9274890249307229360381	81		21373553
10/06/2019	09/24/2019	9274890249307229358920	81		21373553
10/06/2019	09/24/2019	9274890249307229360480	81		21373553
10/06/2019	09/24/2019	9274890249307229358111	81		21373553
10/06/2019	09/24/2019	9274890249307229363139	81		21373553
10/06/2019	09/24/2019	9274890249307229359804	81		21373553
10/06/2019	09/24/2019	9274890249307229362132	81		21373553
10/06/2019	09/24/2019	9274890249307229357268	81		21373553
10/06/2019	09/24/2019	9274890249307229361623	81		21373553
10/06/2019	09/24/2019	9274890249307229363566	81		21373553
10/06/2019	09/24/2019	9274890249307229359576	81		21373553
10/06/2019	09/24/2019	9274890249307229360565	81		21373553
10/06/2019	09/24/2019	9274890249307229362026	81		21373553
10/06/2019	09/24/2019	9274890249307229356889	81		21373553
10/06/2019	09/24/2019	9274890249307229361166	81		21373553
10/06/2019	09/24/2019	9274890249307229357480	81		21373553
10/06/2019	09/24/2019	9274890249307229360695	81		21373553
10/06/2019	09/24/2019	9274890249307229357213	81		21373553
10/06/2019	09/24/2019	9274890249307229358609	81		21373553
10/06/2019	09/24/2019	9274890249307229362590	81		21373553
10/06/2019	09/24/2019	9305589936900254388040	36	9261290249307229354919	21373553
10/06/2019	09/24/2019	9305589936900254387968	36	9261290249307229354209	21373553
10/06/2019	09/13/2019	9374869903504088212851	81		21373553
10/06/2019	09/16/2019	9361269903504093120848	83		21373553
10/06/2019	09/23/2019	9361289936900254093895	36	9374869903504110412754	21373553
10/06/2019	09/23/2019	9361289936900254093901	36	9374869903504109645880	21373553
10/06/2019	09/23/2019	9374869903504109552850	81		21373553
10/06/2019	09/23/2019	9374869903504111578077	81		21373553
10/06/2019	09/23/2019	9374869903504110546275	81		21373553
10/06/2019	09/23/2019	9374869903504110414185	81		21373553
10/06/2019	09/23/2019	9374869903504110461936	81		21373553
10/06/2019	09/23/2019	9374869903504110569342	81		21373553
10/06/2019	09/23/2019	9374869903504109568295	81		21373553
10/06/2019	09/23/2019	9374869903504110192083	81		21373553
10/06/2019	09/23/2019	9374869903504111569389	81		21373553
10/06/2019	09/23/2019	9374869903504110465507	81		21373553
10/06/2019	09/23/2019	9374869903504110179343	81		21373553
10/06/2019	09/23/2019	9374869903504110172955	81		21373553
10/06/2019	09/23/2019	9374869903504110248544	81		21373553
10/06/2019	09/22/2019	9374869903504107928299	81		21373553
10/06/2019	09/23/2019	9374869903504111562212	81		21373553
10/06/2019	09/23/2019	9374869903504111559373	81		21373553
10/06/2019	09/23/2019	9374869903504109578447	81		21373553
10/06/2019	09/23/2019	9374869903504110280698	81		21373553
10/06/2019	09/23/2019	9374869903504109581980	81		21373553
10/06/2019	09/23/2019	9374869903504110572298	81		21373553
10/06/2019	09/23/2019	9374869903504111366278	81		21373553
10/06/2019	09/23/2019	9374869903504110416066	81		21373553
10/06/2019	09/23/2019	9374869903504109545760	81		21373553
10/06/2019	09/23/2019	9374869903504110439546	81		21373553
10/06/2019	09/23/2019	9374869903504110340835	81		21373553
10/06/2019	09/23/2019	9374869903504110258024	81		21373553
10/06/2019	09/23/2019	9374869903504109649987	81		21373553
10/06/2019	09/23/2019	9374869903504109591477	81		21373553
10/06/2019	09/23/2019	9374869903504110232482	81		21373553
10/06/2019	09/23/2019	9374869903504109572094	81		21373553
10/06/2019	09/23/2019	9374869903504110452958	81		21373553
10/06/2019	09/23/2019	9374869903504110444953	81		21373553
10/06/2019	09/23/2019	9374869903504110129522	81		21373553
10/06/2019	09/23/2019	9374869903504110451326	81		21373553
10/06/2019	09/23/2019	9374869903504109643176	81		21373553
10/06/2019	09/23/2019	9374869903504110388196	81		21373553
10/06/2019	09/23/2019	9374869903504110586400	81		21373553
10/06/2019	09/23/2019	9374869903504110202140	81		21373553
10/06/2019	09/23/2019	9374869903504110449187	81		21373553
10/06/2019	09/23/2019	9374869903504110383818	81		21373553
10/06/2019	09/23/2019	9374869903504110679775	81		21373553
10/06/2019	09/23/2019	9374869903504110575893	81		21373553
10/06/2019	09/23/2019	9374869903504109585155	81		21373553
10/06/2019	09/23/2019	9374869903504110253425	81		21373553
10/06/2019	09/23/2019	9374869903504110304134	81		21373553
10/06/2019	09/23/2019	9374869903504109652734	81		21373553
10/06/2019	09/23/2019	9374869903504110133970	81		21373553
10/06/2019	09/23/2019	9374869903504110433384	81		21373553
10/06/2019	09/23/2019	9374869903504110579624	81		21373553
