ActiveDate,Zip3,Zone
3/1/2020,649,6
3/1/2020,650,5
3/1/2020,651,5
3/1/2020,652,5
3/1/2020,653,5
3/1/2020,654,6
3/1/2020,655,6
3/1/2020,656,6
3/1/2020,657,6
3/1/2020,658,6
3/1/2020,659,
3/1/2020,660,6
3/1/2020,661,6
3/1/2020,662,6
3/1/2020,663,
3/1/2020,664,6
3/1/2020,665,6
3/1/2020,666,6
3/1/2020,667,6
3/1/2020,668,6
3/1/2020,669,6
3/1/2020,670,6
3/1/2020,671,6
3/1/2020,672,6
3/1/2020,673,6
3/1/2020,674,6
3/1/2020,675,6
3/1/2020,676,6
3/1/2020,677,6
3/1/2020,678,6
3/1/2020,679,7
3/1/2020,680,6
3/1/2020,681,6
3/1/2020,682,
3/1/2020,683,6
3/1/2020,684,6
3/1/2020,685,6
3/1/2020,686,6
3/1/2020,687,6
3/1/2020,688,6
3/1/2020,689,6
3/1/2020,690,6
3/1/2020,691,6
3/1/2020,692,6
3/1/2020,693,6
3/1/2020,694,
3/1/2020,695,
3/1/2020,696,
3/1/2020,697,
3/1/2020,698,
3/1/2020,699,
3/1/2020,700,6
3/1/2020,701,6
3/1/2020,702,
3/1/2020,703,6
3/1/2020,704,6
3/1/2020,705,6
3/1/2020,706,6
3/1/2020,707,6
3/1/2020,708,6
3/1/2020,709,
3/1/2020,710,6
3/1/2020,711,6
3/1/2020,712,6
3/1/2020,713,6
3/1/2020,714,6
3/1/2020,715,
3/1/2020,716,6
3/1/2020,717,6
3/1/2020,718,6
3/1/2020,719,6
3/1/2020,720,6
3/1/2020,721,6
3/1/2020,722,6
3/1/2020,723,5
3/1/2020,724,5
3/1/2020,725,6
3/1/2020,726,6
3/1/2020,727,6
3/1/2020,728,6
3/1/2020,729,6
3/1/2020,730,6
3/1/2020,731,6
3/1/2020,732,
3/1/2020,733,7
3/1/2020,734,6
3/1/2020,735,6
3/1/2020,736,6
3/1/2020,737,6
3/1/2020,738,6
3/1/2020,739,7
3/1/2020,740,6
3/1/2020,741,6
3/1/2020,742,
3/1/2020,743,6
3/1/2020,744,6
3/1/2020,745,6
3/1/2020,746,6
3/1/2020,747,6
3/1/2020,748,6
3/1/2020,749,6
3/1/2020,750,6
3/1/2020,751,6
3/1/2020,752,6
3/1/2020,753,6
3/1/2020,754,6
3/1/2020,755,6
3/1/2020,756,6
3/1/2020,757,6
3/1/2020,758,6
3/1/2020,759,6
3/1/2020,760,6
3/1/2020,761,6
3/1/2020,762,6
3/1/2020,763,6
3/1/2020,764,6
3/1/2020,765,7
3/1/2020,766,6
3/1/2020,767,6
3/1/2020,768,7
3/1/2020,769,7
3/1/2020,770,6
3/1/2020,771,
3/1/2020,772,6
3/1/2020,773,6
3/1/2020,774,6
3/1/2020,775,6
3/1/2020,776,6
3/1/2020,777,6
3/1/2020,778,6
3/1/2020,779,7
3/1/2020,780,7
3/1/2020,781,7
3/1/2020,782,7
3/1/2020,783,7
3/1/2020,784,7
3/1/2020,785,7
3/1/2020,786,7
3/1/2020,787,7
3/1/2020,788,7
3/1/2020,789,7
3/1/2020,790,7
3/1/2020,791,7
3/1/2020,792,7
3/1/2020,793,7
3/1/2020,794,7
3/1/2020,795,7
3/1/2020,796,7
3/1/2020,797,7
3/1/2020,798,8
3/1/2020,799,8
3/1/2020,800,7
3/1/2020,801,7
3/1/2020,802,7
3/1/2020,803,7
3/1/2020,804,7
3/1/2020,805,7
3/1/2020,806,7
3/1/2020,807,7
3/1/2020,808,7
3/1/2020,809,7
3/1/2020,810,7
3/1/2020,811,7
3/1/2020,812,7
3/1/2020,813,7
3/1/2020,814,7
3/1/2020,815,7
3/1/2020,816,7
3/1/2020,817,
3/1/2020,818,
3/1/2020,819,
3/1/2020,820,7
3/1/2020,821,7
3/1/2020,822,7
3/1/2020,823,7
3/1/2020,824,7
3/1/2020,825,7
3/1/2020,826,7
3/1/2020,827,7
3/1/2020,828,7
3/1/2020,829,8
3/1/2020,830,8
3/1/2020,831,8
3/1/2020,832,8
3/1/2020,833,8
3/1/2020,834,8
3/1/2020,835,8
3/1/2020,836,8
3/1/2020,837,8
3/1/2020,838,8
3/1/2020,839,
3/1/2020,840,8
3/1/2020,841,8
3/1/2020,842,8
3/1/2020,843,8
3/1/2020,844,8
3/1/2020,845,8
3/1/2020,846,8
3/1/2020,847,8
3/1/2020,848,
3/1/2020,849,
3/1/2020,850,8
3/1/2020,851,8
3/1/2020,852,8
3/1/2020,853,8
3/1/2020,854,
3/1/2020,855,8
3/1/2020,856,8
3/1/2020,857,8
3/1/2020,858,
3/1/2020,859,8
3/1/2020,860,8
3/1/2020,861,
3/1/2020,862,
3/1/2020,863,8
3/1/2020,864,8
3/1/2020,865,7
3/1/2020,866,
3/1/2020,867,
3/1/2020,868,
3/1/2020,869,
3/1/2020,870,7
3/1/2020,871,7
3/1/2020,872,
3/1/2020,873,7
3/1/2020,874,7
3/1/2020,875,7
3/1/2020,876,7
3/1/2020,877,7
3/1/2020,878,7
3/1/2020,879,7
3/1/2020,880,8
