tracking number,rate__shipment__address_to__zip,Account
9374869903505666971993,90022-1222,5358164
56326AE77FBF44E889E71DE2B,M9W1Z5,5358164
9374869903505672088302,08089-1031,5358164
9374869903505672107980,67701-3031,5358164
9374869903505672116920,08901-3129,5358164
9374869903505672128398,35673-6534,5358164
9374869903505672136768,48310-2045,5358164
9374869903505672155561,01083-0934,5358164
9374869903505672163108,95037-9418,5358164
9374869903505672209738,34249-2602,5358164
9374869903505672215784,34249-2602,5358164
9374869903505672226513,77029-3053,5358164
9374869903505672234365,43147-8682,5358164
9374869903505672250730,94533-8036,5358164
9374869903505672267257,44646-3769,5358164
9374869903505672294901,78041-6124,5358164
9374869903505672313046,93662-2940,5358164
9374869903505672317051,60172-2306,5358164
9374869903505672317426,29475-5068,5358164
9374869903505672324035,77396-4229,5358164
9374869903505672329290,60133,5358164
9374869903505672332085,98321-9710,5358164
9374869903505672337684,44256-9744,5358164
9374869903505672342060,41519-8250,5358164
9374869903505672345450,14612-4702,5358164
9374869903505672348772,11236-5548,5358164
9374869903505672350591,70517-7912,5358164
9374869903505672356739,89122-3574,5358164
9374869903505672358610,29073-8747,5358164
9374869903505672361252,85032-4738,5358164
1A1011831CF04564885A88765,M4C 5P3,5358164
AE3D07A991EE4B63ACE344851,s0k 4r0,5358164
5D5AD0C4824541B38177CCC2A,L2A2V9,5358164
91B5B08515C743BFAE00F3D9E,T0M0W0,5358164
B66290AAF0A44F5CA066E0A49,H4B1R8,5358164
BBABC1F869854A5C9A6AD26F2,L9R2G3,5358164
9374869903505672426586,33063-1410,5358164
9374869903505677500601,66062-1319,5358164
9374869903505677519092,78023-1069,5358164
9374869903505677529374,60615-1202,5358164
9374869903505677539137,30060-7445,5358164
9374869903505677551986,06606-5041,5358164
9374869903505677556288,78628-1708,5358164
9374869903505677570338,44030,5358164
9374869903505677769640,33442-8465,5358164
9374869903505677782915,33029-5184,5358164
9374869903505677793287,78046-8831,5358164
9374869903505677799159,19007-2610,5358164
9374869903505677812902,35630-8919,5358164
399BEEF2A3A746B48F6CB52F1,T1P1X6,5358164
9374869903505677879646,01430-1100,5358164
9374869903505677884695,08004-1106,5358164
9374869903505677892140,10710-5438,5358164
9374869903505677899613,77584-9094,5358164
9374869903505677903402,12764-5426,5358164
9374869903505677911858,60148-3139,5358164
9374869903505677918185,86335-5606,5358164
9374869903505677976406,11209-3859,5358164
9374869903505677979452,93306-2845,5358164
9374869903505677982438,33967-3720,5358164
9374869903505677997234,43017-2328,5358164
9374869903505678005044,33315-3330,5358164
9374869903505678012110,11426,5358164
214C4F164C094A309EC0950C6,V2T6M9,5358164
2AAFA9D7CDCE4F82BCE32EABC,H2L2W9,5358164
0CC69625EB5B4174AEA33E3D1,G6A 0A6,5358164
43F2A4689F524CF98CB02F0E5,e4h 4p8,5358164
D42B0C4EA5B54BD39B561BA60,H1B 5C2,5358164
9374869903505678087668,33193-3298,5358164
9374869903505682673437,94086-6300,5358164
9374869903505682686901,60543-8447,5358164
9374869903505682707248,98388-1628,5358164
9374869903505682751371,95205-6637,5358164
9374869903505682774646,02445-4303,5358164
9374869903505682789138,94404-1833,5358164
9374869903505682796464,63640-3603,5358164
9374869903505682808709,95827-1127,5358164
9374869903505682823269,19001-4312,5358164
9374869903505682825850,28806-2109,5358164
9374869903505682828653,92024-7204,5358164
9374869903505682830748,55428-3654,5358164
9374869903505682834449,81050-9734,5358164
9374869903505682838485,37087-9533,5358164
9374869903505682846503,90304-2625,5358164
9374869903505682852818,84737-3110,5358164
9374869903505682855772,84737-3110,5358164
9374869903505682860776,10474-4743,5358164
1CF8C4379A184F8795E1BF338,B4A3Y2,5358164
A7B13E78C83348D1BB79E89AD,T0E 1A0,5358164
9374869903505687785340,90631-4205,5358164
9374869903505687794335,97420-1559,5358164
9374869903505687815993,53151-4538,5358164
9374869903505687827149,96041-0121,5358164
9374869903505687836240,32811-2435,5358164
9374869903505687852899,02188-3907,5358164
9374869903505687864083,94080-3360,5358164
9374869903505687881721,89032-2473,5358164
9374869903505687884371,76065-7098,5358164
9374869903505687893717,19709-7870,5358164
9374869903505687895261,91741-2605,5358164
9374869903505687909418,23323-1739,5358164
9374869903505687937602,75407-2666,5358164
9374869903505687941050,44024-7013,5358164
9374869903505687944341,05345-9760,5358164
9374869903505687948813,19802-3149,5358164
9374869903505687953107,02330-1426,5358164
9374869903505687954357,63017-8022,5358164
9374869903505687956955,92844-2539,5358164
9374869903505687960310,91304-2873,5358164
9374869903505687961287,64014-5124,5358164
9374869903505687965100,85382-7723,5358164
9374869903505687971262,60448-9105,5358164
9374869903505687973266,78557-3741,5358164
331D8753E9B34C01B4253C55E,M3C1C6,5358164
1B92FFB8CE0742CC8FCF66C07,M5G2J8,5358164
1F3FD930D1C940F49A01FC60F,T3g3c9,5358164
9F6BA0C9C24C475884856EFBE,L6Y5A5,5358164
9374869903505696120705,11212-6452,5358164
9374869903505696131435,91104-2760,5358164
9374869903505696164440,08805-1704,5358164
9374869903505696185339,34786-9518,5358164
9374869903505696224465,49504-6350,5358164
9374869903505696231456,40601-4621,5358164
9374869903505696250525,33014-6226,5358164
9374869903505696287156,02840-1389,5358164
9374869903505696308448,33823-3976,5358164
9374869903505696319222,75006-2663,5358164
9374869903505696331613,78724-8542,5358164
9374869903505696343166,33896-5531,5358164
9374869903505696357057,91340-1371,5358164
9374869903505696371077,77530-2870,5358164
9374869903505696383407,95670-3139,5358164
2983DF77742549ADB009F6FDE,L6Z 3P6,5358164
9374869903505696442630,38016-0925,5358164
9374869903505696461907,29486-6960,5358164
9374869903505696560280,75098-5563,5358164
9374869903505696581247,21136-3800,5358164
9374869903505696597088,90631-5372,5358164
9374869903505696612743,01915-2512,5358164
9374869903505696663011,02840-1327,5358164
9374869903505696681350,33445-1282,5358164
9374869903505696693995,85009-2548,5358164
9374869903505696713105,89103-2280,5358164
9374869903505696724804,77036-1533,5358164
9374869903505696739785,17701-3862,5358164
9374869903505696746240,43147-0436,5358164
9374869903505696758403,34145-3170,5358164
9374869903505696772638,95205-6112,5358164
9374869903505696787755,93536-6633,5358164
9374869903505696886533,90059,5358164
9374869903505696892190,77088-2838,5358164
9374869903505696895443,33054-3069,5358164
9374869903505696897478,11375-6816,5358164
9374869903505696902912,21208-2351,5358164
9374869903505696913895,05495-8101,5358164
9374869903505696941904,11437-0001,5358164
9374869903505696947302,85301-2200,5358164
9374869903505696951934,85323-7905,5358164
9374869903505696959640,93619-4299,5358164
9374869903505696968635,48188-5223,5358164
9374869903505696975084,54703-6000,5358164
9374869903505696985151,97218-2549,5358164
9374869903505696986172,90280-3432,5358164
9374869903505696989067,14209-1002,5358164
9374869903505696997192,06451-5246,5358164
9374869903505697003861,29617-7904,5358164
9374869903505697005858,27292-6930,5358164
9374869903505697010081,94568-7680,5358164
9374869903505697013020,13760-9705,5358164
9374869903505697019848,19604-2001,5358164
9374869903505697024897,89115-2257,5358164
9374869903505697031185,60451-1520,5358164
9374869903505697043188,28613-9029,5358164
9374869903505697048541,78541-4557,5358164
9374869903505697048091,89701-3478,5358164
9374869903505697055501,21921-4850,5358164
9374869903505697061236,37721-5148,5358164
9374869903505697063445,41102-8866,5358164
9374869903505697070641,30044-4048,5358164
9374869903505697077855,85737-7710,5358164
9374869903505697151531,49424-9388,5358164
9374869903505697159698,24112-4020,5358164
9374869903505697164043,49337-8200,5358164
9374869903505697175506,78537-2616,5358164
9374869903505697187691,78741-1333,5358164
9374869903505697195917,87507-4825,5358164
9374869903505697222194,84790-1885,5358164
6F376F3F64E24AAD980099051,N5X0K3,5358164
17130F70F0894A39AECB19733,L0S1T0,5358164
D1B34B0FC01149BBA9247E0C2,L6X 0J9,5358164
AE0EF6CF41E943E8871202DA3,L6r1n1,5358164
5FF7CEBE71C34CB6AB35345AC,B0h1t0,5358164
19821D79181F41649B7DD0386,m3n1j2,5358164
10D41ECA44F04533AAC6AB035,V4N 1M7,5358164
8609597D11B54A2C877199C82,V2T 4W9,5358164
01755A522CC6490FA65CE369A,L6R2G2,5358164
77E29A9CEC454028998052AEF,m3n1j9,5358164
986F45109B2E4D4EA856775A8,R5M 0A3,5358164
4441311106C247468D9952B9E,3058,5358164
7766B9AFECAB4C21AC14DE164,4123,5358164
9374869903505697364061,34746,5358164
9374869903505702705155,66046-5486,5358164
9374869903505702749807,75160-0037,5358164
9374869903505702757130,48034-1870,5358164
9374869903505702772683,76502-1328,5358164
9374869903505702784198,01835-7335,5358164
9374869903505702813225,16102-1245,5358164
9374869903505702848142,97027-2283,5358164
9374869903505702875940,46112-5543,5358164
9374869903505702899595,46628-9376,5358164
9374869903505702906606,30044-3159,5358164
9374869903505702920893,89131-8263,5358164
9374869903505702931899,75054-7229,5358164
9374869903505702936405,63128-4025,5358164
9374869903505702940983,11208-1928,5358164
9374869903505702945001,10801-1605,5358164
9374869903505702951460,07002-1835,5358164
9374869903505702957233,52241-2836,5358164
9374869903505702959206,33010-3219,5358164
9374869903505702974346,85349-7315,5358164
9374869903505702982556,78750-2828,5358164
9374869903505702985069,28078-6004,5358164
9374869903505702998977,64058-1147,5358164
9374869903505703001768,75791-9376,5358164
9374869903505703005049,53235-5538,5358164
9374869903505703008583,11580-4716,5358164
9374869903505703020011,31558-2569,5358164
9374869903505703026914,71941-8959,5358164
9374869903505703026310,89113-1763,5358164
9374869903505703030737,77521-7512,5358164
9374869903505703034513,60617-6602,5358164
9374869903505703037866,46738-1408,5358164
9374869903505703040156,44052-2846,5358164
736D1CAA7EAB434D90C03D807,J9J 1Z2,5358164
89414E72B7544DEB9D8B383BB,2790,5358164
5A6E1792A910488D87C3DDBB8,V6T 2G8,5358164
9374869903505707608390,32738-7912,5358164
9374869903505707633361,21227-3414,5358164
9374869903505707647610,15825-2172,5358164
9374869903505707658654,95343-5003,5358164
9374869903505707664778,93907-1716,5358164
9374869903505707668967,78660-3740,5358164
9374869903505707673480,59832-0408,5358164
9374869903505707679246,95608-2859,5358164
9374869903505707682789,11694-2850,5358164
9374869903505707682475,52402-5905,5358164
9374869903505707683373,89104-5427,5358164
9374869903505707690012,39842-1837,5358164
9374869903505707691484,07106-3506,5358164
9374869903505707693310,76049-3404,5358164
9374869903505707696168,46055-6219,5358164
9374869903505707700094,97229-1755,5358164
17F8D46093D0411AB3966E688,L6A1H5,5358164
2CB114DA9B22453C9E64DF16D,t2g 0c7,5358164
4B2B61B6FABC436293E340965,V3T0A2,5358164
DAC4B3B850B3411D828923D67,G2K2A9,5358164
6CBD36A24C7742709DE1B06CA,L4J 7Z3,5358164
B111FFD9A2D94FECBC38D3769,330-714,5358164
9374869903505712441494,10977-3141,5358164
9374869903505712452841,54631-8263,5358164
9374869903505712457372,54868-8538,5358164
9374869903505712480424,08880-1109,5358164
9374869903505712505813,90301-2690,5358164
9374869903505712534585,92551-2924,5358164
9374869903505712600983,33189-1708,5358164
9374869903505712608682,60612-1255,5358164
9374869903505712611415,02169-4937,5358164
9374869903505712618445,27455-2349,5358164
9374869903505712623302,98374-9225,5358164
9374869903505712627546,61109-4137,5358164
9374869903505712628123,10512-4416,5358164
9374869903505712630492,78574-5637,5358164
9374869903505712635817,10550-1489,5358164
