Shipment - Tracking Number,Ship To - Postal Code,Account
9374869903505596252759,11226-5631,5357703
9374869903505596252421,60620,5357703
9374869903505596252414,92115-6610,5357703
9374869903505596252452,11214-2544,5357703
9374869903505596252469,33166-5460,5357703
9374869903505596252780,94589-3114,5357703
9374869903505596252476,94606-1577,5357703
9374869903505596252490,38117-6147,5357703
9374869903505596252797,78249-2906,5357703
9374869903505596252506,46320-1244,5357703
9374869903505596252803,99163-2564,5357703
9374869903505596252810,60544-6082,5357703
9374869903505596252827,06704-2042,5357703
9374869903505596252834,33966-8130,5357703
9374869903505596253527,78064-3539,5357703
9374869903505596252858,92020-6259,5357703
9374869903505596252872,98499-6804,5357703
9374869903505596252889,33166-2625,5357703
9374869903505596252896,11366-1431,5357703
9374869903505596252919,02893-5020,5357703
9374869903505596252902,74137-5954,5357703
9374869903505596252926,17565-9410,5357703
9374869903505596253558,19726-2079,5357703
9374869903505596252933,28310-0001,5357703
9374869903505596252940,07424-3315,5357703
9374869903505596252957,60018-2727,5357703
9374869903505596253565,24018-1108,5357703
9374869903505596253589,38655-7092,5357703
9374869903505596253596,32211-8336,5357703
9374869903505596247953,73013-2424,5357703
9374869903505596253619,48173-9777,5357703
9374869903505596252971,91945-3426,5357703
9374869903505596253602,33647-2906,5357703
9374869903505596253626,92115-6610,5357703
9374869903505596252988,76052-5127,5357703
9374869903505596253633,11102-2838,5357703
9374869903505596253640,20747-2926,5357703
9374869903505596253657,03038-5411,5357703
9374869903505596253664,33172-2780,5357703
9374869903505596253671,33192-4177,5357703
9374869903505596253688,33414-3425,5357703
9374869903505596253701,01583-1657,5357703
9374869903505596247960,33189-2653,5357703
9374869903505596253718,28208-1639,5357703
9374869903505596253725,38006-9020,5357703
9374869903505596253008,01886-4036,5357703
9374869903505596253749,54871-9106,5357703
9374869903505596253015,30312-1713,5357703
9374869903505596253732,33183-4310,5357703
9374869903505596253022,75062-4113,5357703
9374869903505596253763,15468-1120,5357703
9374869903505596253770,21811-1516,5357703
9374869903505596253039,10467-5048,5357703
9374869903505596253787,45039-7090,5357703
9374869903505596253794,19144-3677,5357703
9374869903505596253817,53221-4137,5357703
9374869903505596247984,12401-1422,5357703
9374869903505596253077,92882-6166,5357703
9374869903505596253831,48348-4252,5357703
9374869903505596253084,37075-3702,5357703
9374869903505596253848,11950-2605,5357703
9374869903505596253862,28540-9608,5357703
9374869903505596253893,95121-2960,5357703
9374869903505596247991,92262-3559,5357703
9374869903505596253909,90630-2737,5357703
9374869903505596253107,15012-2709,5357703
9374869903505596253114,94596-5787,5357703
9374869903505596253916,19808-6042,5357703
9374869903505596253121,11358-3411,5357703
9374869903505596253923,20906-2008,5357703
9374869903505596253930,63011-3412,5357703
9374869903505596253138,23502-4306,5357703
9374869903505596253152,11418-1244,5357703
9374869903505596253169,45651-8947,5357703
9374869903505603041048,11003-2215,5357703
9374869903505603381465,89110-1016,5357703
9374869903505603381489,64119-7838,5357703
9374869903505603380505,89102-8576,5357703
9374869903505603382516,84120-9206,5357703
9374869903505603382530,19134-5830,5357703
9374869903505603382547,06902-3514,5357703
9374869903505603382554,76126-3829,5357703
9374869903505603382561,78216-2339,5357703
9374869903505603382592,32960-4307,5357703
9374869903505603381526,28107-9554,5357703
9374869903505603381533,77571-2802,5357703
9374869903505603382578,43026-7892,5357703
9374869903505603382615,78233-6916,5357703
9374869903505603381540,47374-4086,5357703
9374869903505603382622,07740-6059,5357703
9374869903505603381564,17319-8807,5357703
9374869903505603378311,92504-1007,5357703
9374869903505603382585,41051-9258,5357703
9374869903505603382646,61310-9648,5357703
9374869903505603381588,11224-1828,5357703
9374869903505603381595,90805-2853,5357703
9374869903505603378328,33315-3502,5357703
9374869903505603381601,11214-2927,5357703
9374869903505603381618,40729-6154,5357703
9374869903505603382660,17601-2458,5357703
9374869903505603381625,90631-6325,5357703
9374869903505603382684,45218-1515,5357703
9374869903505603381632,84404-5342,5357703
9374869903505603381649,90049-1615,5357703
9374869903505603378335,02025-1706,5357703
9374869903505603382707,72936-4993,5357703
9374869903505603381656,30349-6772,5357703
9374869903505603382714,78224-2143,5357703
9374869903505603381687,84115-5129,5357703
9374869903505603381670,33166-5616,5357703
9374869903505603382721,07726-8045,5357703
9374869903505603382738,23294-5307,5357703
9374869903505603382745,94598-5401,5357703
9374869903505603381694,11419-1426,5357703
9374869903505603382776,20783-4531,5357703
9374869903505603382790,32608-3369,5357703
9374869903505603382820,07724-2446,5357703
9374869903505603430088,50009-5429,5357703
9374869903505603431832,95826-3135,5357703
9374869903505603431870,60615-2073,5357703
9374869903505603430095,60162-1369,5357703
9374869903505603430101,48220-2438,5357703
9374869903505603431078,34786-9419,5357703
9374869903505603431917,90717-2318,5357703
9374869903505603431085,11208-2316,5357703
9374869903505603431948,19310-9672,5357703
9374869903505603431092,99518-1642,5357703
9374869903505603431924,38012-3241,5357703
9374869903505603431139,97003-1350,5357703
9374869903505603431955,34607-3506,5357703
9374869903505603430132,93551-4380,5357703
9374869903505603430149,28747-9401,5357703
9374869903505603431962,30125-9303,5357703
9374869903505603431979,11720-2517,5357703
9374869903505603432006,15227-1302,5357703
9374869903505603430156,60103-6517,5357703
9374869903505603432013,21207-4741,5357703
9374869903505603430163,78520-9050,5357703
9374869903505603432020,90278-2456,5357703
9374869903505603432037,44705-2160,5357703
9374869903505603430170,93630-8905,5357703
9374869903505603431191,19149-3616,5357703
9374869903505603431207,10505-2022,5357703
9374869903505603430187,74112-4826,5357703
9374869903505603432051,72701-4079,5357703
9374869903505603432075,70114-5057,5357703
9374869903505603431184,93257-2753,5357703
9374869903505603432082,60031-1926,5357703
9374869903505603432099,73111-5306,5357703
9374869903505603430217,31025-2325,5357703
9374869903505603432105,75204-0829,5357703
9374869903505603431245,92646-2702,5357703
9374869903505603431252,60954-3548,5357703
9374869903505603431269,33172-2780,5357703
9374869903505603431276,30701-9274,5357703
9374869903505603432129,60426-1343,5357703
9374869903505603431283,43356-0332,5357703
9374869903505603430224,03044-3013,5357703
9374869903505603432136,63137-1327,5357703
9374869903505603432174,90064-2429,5357703
9374869903505603431313,70460-3704,5357703
9374869903505603430231,35660-3207,5357703
9374869903505603432204,42376-9600,5357703
9374869903505603432211,30344-7012,5357703
9374869903505603432242,95405-7315,5357703
9374869903505603431337,42141-7022,5357703
9374869903505603430248,71968-9665,5357703
9374869903505603431344,74070-4172,5357703
9374869903505603431320,46385-8821,5357703
9374869903505603431351,37745-8245,5357703
9374869903505603432273,19720-3400,5357703
9374869903505603432280,27707-3264,5357703
9374869903505603431368,90221-2337,5357703
